Year,Month,Day,Event
1844,10,15,Friedrich Nietzsche születése
1847,01,16,Mikszáth Kálmán születése
1847,09,14,az amerikai csapatok elfoglalják Mexikó várost
1848,01,24,kezdetét veszi a kaliforniai aranyláz
1848,09,11,Jellasics csapatai átkelnek a Dráván
1849,10,06,az aradi vértanúk és Batthyány Lajos kivégzése
1849,10,07,Edgar Allan Poe halála
1850,11,13,Robert Louis Stevenson születése
1851,11,14,kiadják a Moby Dicket
1854,12,08,IX. Pius pápa kinyilvánítja a Szeplőtelen Fogantatás koncepcióját
1855,09,11,véget ér Szevasztopol ostroma
1855,11,16,David Livingstone az első európai felfedező aki meglátja a Viktória-vízesést
1856,10,08,a második ópium háború kezdete
1856,11,20,Bolyai Farkas halála
1859,10,09,Alfred Dreyfus születése
1859,11,24,"megjelenik Darwin műve, ""A fajok eredete"""
1860,09,07,Guiseppe Garibaldi Nápolyba érkezik
1860,10,20,Ferenc József kiadja az októberi diplomát
1860,11,07,Abraham Lincolt választják az USA elnökének
1862,09,22,Lincoln elnök kiadja az Előzetes Emancipációs Kiáltányt
1862,09,24,Bismarckot nevezik ki Poroszország miniszterelnökének
1863,01,17,David Lloyd George
1863,11,19,Lincoln megtartja gettysburgi beszédét
1867,10,18,az Egyesült Államok megszerzi Alaszkát
1868,01,05,először jelenik meg a Borsszem Jankó
1868,09,06,Szendrey Júlia halála
1868,12,09,a világ első közlekedési lámpája működésbe lép Londonban
1869,10,02,Mahatma Gandhi születése
1869,10,16,a cardiffi óriás felfedezése
1869,11,17,megnyílik a Szuezi-csatorna Egyiptomban
1870,09,01,a sedani csata
1870,09,04,III. Napóleon lemond a trónjáról
1871,01,18,a Német Császárság születése
1871,10,27,Stanley megtalálja Livingstone-t
1871,11,14,id. Andrássy Gyula lesz a Monarchia külügyminisztere
1872,11,26,a nagy vadnyugati gyémántcsalás leleplezése
1872,12,04,a Mary Celeste kísértethajó rejtélyes felbukkanása
1872,12,05,Szlávy József alakít kormányt
1874,01,24,Winston Churchill születése
1874,11,24,az első szögesdrót elkészítése
1874,11,30,Winston Churchill születése
1875,11,13,Klebelsberg Kunó születése
1876,01,12,Jack London születése
1877,11,22,Ady Endre születése
1877,12,24,Thomas Edison a piacra tör fonográfjával
1879,01,12,az angol-zulu háború kezdete
1880,01,27,Douglas MacArthur születése
1885,11,14,kitör a szerb-bolgár háború
1886,09,04,Geronimo apacs indián vezér leteszi a fegyvert
1887,11,17,Bernard Law Montgomery születése
1888,12,23,Vincent van Gogh levágja a bal fülét
1889,11,14,"az amerikai újságírónő, Nellie Bly megkezdi 72 napos földkerülő útját"
1890,09,15,Agatha Christie születése
1890,10,14,Dwight D. Eisenhower születése
1891,11,15,Erwin Rommel születése
1891,12,21,James Naismith megrendezi az első kosárlabda mérkőzést
1892,01,03,J. R. R. Tolkien születése
1892,10,05,a Dalton-banda utolsó rablási kísérlete
1893,01,12,Hermann Göring születése
1894,11,26,"II. Miklós, az utolsó orosz cár feleségének veszi Alexandrát"
1894,12,22,Alfred Dreyfust életfogytiglan börtönbüntetésre ítélik
1895,12,30,a Lumiére testvérek első nyilvános filmvetítése
1895,11,27,létrehozzák a Nobel-díjat
1895,12,28,a Lumiére testvérek első nyilvános filmvetítése
1896,10,04,a Ferencz József híd átadása
1896,10,26,Olaszország békét köt Etiópiával
1897,01,06,Szálasi Ferenc születése
1897,10,29,Joseph Goebbels születése
1898,09,10,"Erzsébet királyné ""Sisi"" meggyilkolása"
1898,09,18,a fashodai incidens kezdete
1898,10,18,Amerika megkapja Puerto Ricot a spanyol-amerikai háborút követően
1899,01,17,Al Capone születése
1899,10,11,elkezdődik a második búr háború
1900,12,03,futballcsapat születik Ferencvárosban
1901,01,22,Viktória királyné halála
1901,09,07,véget ér a bokszerlázadás
1901,12,05,Walt Disney születése
1901,12,10,az első Nobel-díjak kiosztása
1901,12,27,Marlene Dietrich születése
1903,12,30,Neumann János születése
1903,12,17,először száll fel a Wright testvérek repülőgépe
1903,12,28,Neumann János születése
1905,01,27,megtalálják a világ legnagyobb gyémántját Dél-Afrikában
1905,01,02,az orosz csapatok megadják magukat a japánoknak Port Arthurnál
1905,09,05,véget ér az orosz-japán háború
1905,10,26,megalakul a Szentpétervári szovjet
1905,10,30,II. Miklós orosz cár kiadja az októberi kiáltványt
1908,10,01,a Ford T-modell az autópiacra kerül
1910,11,20,Leo Tolstoy halála
1911,12,14,Amundsen eléri a Déli-sarkot
1912,10,08,kirobban az első Balkán háború
1912,11,12,José Canalejas spanyol miniszterelnök meggyilkolása
1913,01,09,Richard Nixon születése
1913,12,21,megjelenik az első keresztrejtvény a New York World folyóiratban
1914,12,25,karácsony a lövészárkokban
1914,09,06,az első marne-i offenzíva
1914,10,19,az első Ypres-I csata
1914,11,05,Franciaország és Anglia hadat üzen Törökországnak
1915,09,06,"az első tank legyártása ""Little Willie"""
1915,09,06,Bulgária szövetségre lép a központi hatalmakkal
1915,10,11,Bulgária belép az első világháborúba
1916,11,13,véget ér a Somme-i offenzíva
1916,11,21,Ferenc József halála
1916,12,01,a herceghalmi vasúti baleset
1916,12,16,Raszputyin meggyilkolása
1916,12,18,véget ér a verduni csata
1916,12,30,Rasputin meggyilkolása
1917,01,10,Madarász Viktor halála
1917,09,04,Maléter Pál születése
1917,10,15,Mata Hari kivégzése
1917,10,24,a caporettói áttörés
1917,11,07,bolsevik hatalomátvétel Oroszországban
1917,11,09,nyilvánosságra kerül a Balfour-nyilatkozat
1917,11,20,először vetnek be tankokat az angolok a cambrai csatában
1917,12,06,Finnország kikiáltja függetlenségét Oroszországtól
1917,12,07,az Egyesült Államok hadat üzen az OMM-nek
1918,01,08,Wilson amerikai elnök meghirdeti 14 pontját
1918,09,27,brit csapatok támadják a Hindenburg vonal mentén a németeket
1918,09,30,Szabó Ervin halála
1918,10,31,Tisza István meggyilkolása
1918,11,01,A Bánáti Köztársaság kikiáltása
1918,11,11,véget ér az első világháború
1918,11,13,a belgrádi fegyverszünet (katonai konvenció) megkötése
1918,12,01,a románok gyulafehérvári nagygyűlése kimondja Erdély elszakadását
1919,01,05,Anton Drexler megalapítja a Náci Párt elődjét
1919,09,10,a saint-germaini békeszerződés aláírása
1919,10,28,törvény a szesztilalomról az USA-ban
1919,11,16,Horthy Miklós a Nemzeti Hadsereg élén bevonul Budapestre
1919,11,27,a Neuilly-béke 
1920,01,10,megalakul a Nemzetek Szövetsége
1920,09,26,a numerus clausus-törvény megszavazása
1921,10,20,IV. Károly második visszatérési kísérlete
1921,11,06,a Habsburg-ház utolsó trónfosztása
1921,12,13,négyhatalmi egyezmény a washingtoni konferencián
1921,12,14,megkezdődik a Sopron környéki népszavazás
1921,12,22,A Bethlen-Peyer-paktum aláírása
1922,10,31,Benito Mussolini lesz az olasz miniszterelnök
1922,11,04,Howard Carter felfedezi Tutanhamon sírját
